date;Negative;% Negative;Neutral;% Neutral;Positive;% Positive;Total;;;;;;;;;;;
12.05.2022;20;0,04;150;0,3;330;0,66;500;;;date;12.05.2022;13.05.2022;14.05.2022;15.05.2022;16.05.2022;17.05.2022;18.05.2022;19.05.2022
13.05.2022;22;0,018333333;342;0,285;836;0,696666667;1200;;;Negative;20;22;41;55;44;67;66;33
14.05.2022;41;0,034166667;430;0,358333333;729;0,6075;1200;;;% Negative;0,04;0,018333333;0,034166667;0,045833333;0,036666667;0,055833333;0,055;0,050769231
15.05.2022;55;0,045833333;438;0,365;707;0,589166667;1200;;;Neutral;150;342;430;438;592;541;595;298
16.05.2022;44;0,036666667;592;0,493333333;564;0,47;1200;;;% Neutral;0,3;0,285;0,358333333;0,365;0,493333333;0,450833333;0,495833333;0,458461538
17.05.2022;67;0,055833333;541;0,450833333;592;0,493333333;1200;;;Positive;330;836;729;707;564;592;539;319
18.05.2022;66;0,055;595;0,495833333;539;0,449166667;1200;;;% Positive;0,66;0,696666667;0,6075;0,589166667;0,47;0,493333333;0,449166667;0,490769231
19.05.2022;33;0,050769231;298;0,458461538;319;0,490769231;650;;;Total;500;1200;1200;1200;1200;1200;1200;650
