date;Negative;Neutral;Positive;Total;% Negative;% Neutral;% Positive;;;;;;;;;;
28.04.2022;36;469;1153;1658;0,021712907;0,282870929;0,695416164;;;;;;;;;;
29.04.2022;23;322;1467;1812;0,012693157;0,177704194;0,809602649;;date;28.04.2022;29.04.2022;30.04.2022;01.05.2022;02.05.2022;03.05.2022;04.05.2022;05.05.2022
30.04.2022;33;330;384;747;0,044176707;0,441767068;0,514056225;;Negative;36;23;33;39;89;22;19;7
01.05.2022;39;254;125;418;0,093301435;0,607655502;0,299043062;;Neutral;469;322;330;254;215;120;128;49
02.05.2022;89;215;284;588;0,151360544;0,365646259;0,482993197;;Positive;1153;1467;384;125;284;1249;335;43
03.05.2022;22;120;1249;1391;0,01581596;0,086268871;0,897915169;;Total;1658;1812;747;418;588;1391;482;99
04.05.2022;19;128;335;482;0,039419087;0,265560166;0,695020747;;% Negative;0,021712907;0,012693157;0,044176707;0,093301435;0,151360544;0,01581596;0,039419087;0,070707071
05.05.2022;7;49;43;99;0,070707071;0,494949495;0,434343434;;% Neutral;0,282870929;0,177704194;0,441767068;0,607655502;0,365646259;0,086268871;0,265560166;0,494949495
;;;;;;;;;% Positive;0,695416164;0,809602649;0,514056225;0,299043062;0,482993197;0,897915169;0,695020747;0,434343434
