date;Negative;Neutral;Positive;Total;% Negative;% Neutral;% Positive;;;;;;;;;;
28.04.2022;43;720;895;1658;0,025934861;0,434258142;0,539806996;;date;28.04.2022;29.04.2022;30.04.2022;01.05.2022;02.05.2022;03.05.2022;04.05.2022;05.05.2022
29.04.2022;24;695;1093;1812;0,013245033;0,383554084;0,603200883;;Negative;43;24;52;57;39;12;18;6
30.04.2022;52;472;223;747;0,06961178;0,631860776;0,298527443;;Neutral;720;695;472;278;414;1217;224;61
01.05.2022;57;278;83;418;0,136363636;0,66507177;0,198564593;;Positive;895;1093;223;83;135;162;240;32
02.05.2022;39;414;135;588;0,066326531;0,704081633;0,229591837;;Total;1658;1812;747;418;588;1391;482;99
03.05.2022;12;1217;162;1391;0,008626887;0,874910137;0,116462976;;% Negative;0,025934861;0,013245033;0,06961178;0,136363636;0,066326531;0,008626887;0,037344398;0,060606061
04.05.2022;18;224;240;482;0,037344398;0,46473029;0,497925311;;% Neutral;0,434258142;0,383554084;0,631860776;0,66507177;0,704081633;0,874910137;0,46473029;0,616161616
05.05.2022;6;61;32;99;0,060606061;0,616161616;0,323232323;;% Positive;0,539806996;0,603200883;0,298527443;0,198564593;0,229591837;0,116462976;0,497925311;0,323232323
