;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text
55;1517956798296334338;2022-04-23 20:01:17+00:00;DiegoAn25605735;False;;68;6;167;5;0;[];[{'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [0, 10]}];@staratlas WE NEED some economical solutions NOW. Burn ATLAS now, the DAO is going to be ready by 2025
56;1517956552057049094;2022-04-23 20:00:18+00:00;ogudu_hillary;False;Abakaliki;165;15;74;0;0;[];[{'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [0, 10]}, {'screen_name': 'PandaGirlToken', 'name': 'PandaGirl | NFT MINTING ON 04/29 8PM UTC', 'id': 965271973336100866, 'id_str': '965271973336100866', 'indices': [47, 62]}, {'screen_name': 'PandaGirlToken', 'name': 'PandaGirl | NFT MINTING ON 04/29 8PM UTC', 'id': 965271973336100866, 'id_str': '965271973336100866', 'indices': [92, 107]}];"@staratlas Don't miss out on this big project 
@pandagirltoken
.....Minting by 04/29..... 

@pandagirltoken… https://t.co/VMSQvHCFho"
57;1517955979920515074;2022-04-23 19:58:02+00:00;alltimelow_bot;False;;5;421;78945;0;1;[];[{'screen_name': 'thisisthecoin', 'name': 'TheIceMonkey', 'id': 1357137192456454149, 'id_str': '1357137192456454149', 'indices': [3, 17]}];"$ATLAS hitting an all time low

what, were people not bullish on ANOTHER new cash grab ship without any other updat… https://t.co/mRDmrm7BpU"
58;1517955339450294272;2022-04-23 19:55:29+00:00;anyatang;False;Calabar, Cross River State;139;26;47;0;0;[];[{'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [0, 10]}];@staratlas We're here to make history in the crypto space. $Pandagirl to the moon. Thousands of people are joining… https://t.co/IGHiahQZsj
59;1517954959760891905;2022-04-23 19:53:59+00:00;ParadoxRealms;False;Running Our Own Servers;880;2770;1840;0;4;[];[{'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [3, 12]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [74, 84]}, {'screen_name': 'brycent_', 'name': 'brycent 🚀', 'id': 2697947171, 'id_str': '2697947171', 'indices': [127, 136]}];"This is EPIC!! I always love seeing how people react to the @staratlas Trailer!!!

I’m on the same boat with you… https://t.co/mX1WPJWHCS"
60;1517954824171671559;2022-04-23 19:53:26+00:00;BDLRampage;False;Metaverse;686;1310;6930;3;1;[];[{'screen_name': 'bananadao_com', 'name': 'Banana DAO | Metaverse Guild', 'id': 1447546413877956612, 'id_str': '1447546413877956612', 'indices': [16, 30]}, {'screen_name': 'BrycePeters6', 'name': 'Bryce Peters', 'id': 761243015893676032, 'id_str': '761243015893676032', 'indices': [63, 76]}];"Jesus H Christ, @bananadao_com is taking over my server 👀

And @BrycePeters6 is already warming up...

Where are yo… https://t.co/8f54diFHhg"
61;1517953465846165506;2022-04-23 19:48:03+00:00;itsmekrishna30;False;;22;188;1200;0;36;[];[{'screen_name': 'Gameverse_', 'name': 'Gameverse 🎮', 'id': 1458203910041001988, 'id_str': '1458203910041001988', 'indices': [3, 14]}, {'screen_name': 'solana', 'name': 'Solana', 'id': 951329744804392960, 'id_str': '951329744804392960', 'indices': [41, 48]}, {'screen_name': 'EternalDragons_', 'name': 'Eternal Dragons', 'id': 1500919812683350019, 'id_str': '1500919812683350019', 'indices': [84, 100]}, {'screen_name': 'Stepnofficial', 'name': 'STEPN | Public Beta Phase III', 'id': 1439068275040653313, 'id_str': '1439068275040653313', 'indices': [103, 117]}, {'screen_name': 'play_evio', 'name': 'ev.io', 'id': 1352833615554514947, 'id_str': '1352833615554514947', 'indices': [120, 130]}];"📌TOP Blockchain Games On @solana With Best Social Signal Last 24H

🥇@EternalDragons_ 
🥈@Stepnofficial 
🥉@play_evio… https://t.co/3JXlwE3nbO"
62;1517952736410497024;2022-04-23 19:45:09+00:00;thisisthecoin;False;;3233;1219;7931;0;1;[];[];"$ATLAS hitting an all time low

what, were people not bullish on ANOTHER new cash grab ship without any other updat… https://t.co/mRDmrm7BpU"
63;1517952577693831169;2022-04-23 19:44:31+00:00;empressofpeach;False;Peachlandia Palace;339;156;547;0;0;[];[{'screen_name': 'brycent_', 'name': 'brycent 🚀', 'id': 2697947171, 'id_str': '2697947171', 'indices': [0, 9]}, {'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [10, 19]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [20, 30]}];"@brycent_ @Ashes_LS @staratlas Spin-off: 

4. STAR ATLAS - The Grand Baby Alien Smuggling Adventure"
64;1517952002625572867;2022-04-23 19:42:14+00:00;_jreynolds999;False;Miami, FL;823;707;12382;0;1;[];[{'screen_name': 'brycent_', 'name': 'brycent 🚀', 'id': 2697947171, 'id_str': '2697947171', 'indices': [3, 12]}, {'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [14, 23]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [24, 34]}];"@Ashes_LS @staratlas Movie Titles: 

1. STAR ATLAS - Age of Expansion 

Sequel Title: 

2. STAR ATLAS - Endless Gal… https://t.co/4tThx51yrX"
